festival_id,name,capacity,start_date,end_date,has_visitor_camp,status,city_id
1,Crystal Pulse Park,2337,2025-11-27,2025-12-04,True,Aktivan,506
2,Dream Storm Dome,96542,2025-11-07,2025-11-17,True,Zavrsen,725
3,Electric Jam Valley,31190,2025-11-29,2025-12-08,False,Aktivan,488
4,Sunset Vibes Garden,82388,2025-12-18,2025-12-28,True,Planiran,867
5,Wild Soul Plaza,61230,2025-12-12,2025-12-17,False,Planiran,775
6,Midnight Fest Hill,62770,2025-11-12,2025-11-21,True,Zavrsen,51
7,Radiant Wave Beach,77741,2025-11-13,2025-11-18,False,Zavrsen,364
8,Dream Fest Square,5612,2025-12-17,2025-12-23,False,Planiran,939
9,Jazz Storm Hill,70266,2025-12-30,2026-01-07,True,Planiran,503
10,Wild Vibes Dome,30598,2025-12-11,2025-12-19,True,Planiran,2
11,Lunar Soul Theater,57394,2025-11-14,2025-11-24,True,Zavrsen,279
12,Cosmic Fest Arena,10782,2025-11-21,2025-11-23,False,Zavrsen,491
13,Crystal Groove Theater,91786,2025-12-12,2025-12-17,True,Planiran,177
14,Rock Echo Garden,68158,2025-11-24,2025-11-28,True,Zavrsen,89
15,Nova Aura Oasis,8275,2025-12-03,2025-12-06,True,Aktivan,461
16,Rock Jam Theater,73405,2025-11-09,2025-11-19,False,Zavrsen,883
17,Rock Melody Beach,73629,2025-12-02,2025-12-04,False,Aktivan,626
18,Radiant Horizon Arena,91354,2025-12-17,2025-12-24,True,Planiran,353
19,Electric Horizon Dome,21493,2025-12-07,2025-12-15,False,Planiran,363
20,Nova Tempo Valley,53085,2025-11-08,2025-11-12,False,Zavrsen,509
21,Golden Fest Pier,92245,2025-12-05,2025-12-08,True,Planiran,945
22,Silent Vibes Field,81506,2025-11-02,2025-11-07,False,Zavrsen,685
23,Solar Aura Square,89940,2025-11-08,2025-11-12,False,Zavrsen,143
24,Golden Beats Oasis,77356,2025-11-04,2025-11-07,False,Zavrsen,417
25,Lunar Horizon Hall,15127,2025-11-21,2025-11-29,True,Zavrsen,435
26,Cosmic Tempo Field,86723,2025-12-18,2025-12-28,False,Planiran,565
27,Lunar Rhythm Beach,76806,2025-11-04,2025-11-07,True,Zavrsen,674
28,Cosmic Fest Garden,5463,2025-12-04,2025-12-08,True,Aktivan,76
29,Jazz Groove Theater,79218,2025-12-20,2025-12-21,False,Planiran,621
30,Jazz Vibes Beach,73683,2025-12-06,2025-12-11,True,Planiran,620
31,Harmony Sound Stage,49237,2025-11-24,2025-12-03,True,Zavrsen,471
32,Radiant Beats Court,53022,2025-11-29,2025-12-05,True,Aktivan,35
33,Electric Beats Dome,10800,2025-12-18,2025-12-26,True,Planiran,219
34,Golden Storm Court,6124,2025-12-10,2025-12-13,True,Planiran,433
35,Harmony Tempo Square,35650,2025-11-25,2025-11-30,True,Zavrsen,390
36,Harmony Rhythm Theater,7067,2025-12-01,2025-12-03,True,Zavrsen,807
37,Electric Melody Hall,3655,2025-11-05,2025-11-10,True,Zavrsen,473
38,Sunset Soul Oasis,724,2025-12-29,2026-01-04,False,Planiran,232
39,Wild Fest Garden,14922,2025-11-14,2025-11-18,True,Zavrsen,85
40,Harmony Pulse Hill,87761,2025-11-21,2025-11-22,True,Zavrsen,383
41,Midnight Horizon Theater,95702,2025-12-17,2025-12-21,False,Planiran,454
42,Cosmic Era Valley,3151,2025-12-14,2025-12-23,True,Planiran,971
43,Neon Era Garden,45082,2025-11-14,2025-11-23,False,Zavrsen,936
44,Silent Melody Arena,2754,2025-12-09,2025-12-18,True,Planiran,896
45,Cosmic Soul Theater,71289,2025-11-06,2025-11-10,False,Zavrsen,87
46,Radiant Harmony Hill,63581,2025-12-18,2025-12-25,False,Planiran,27
47,Rock Soul Arena,39814,2025-12-04,2025-12-08,False,Aktivan,805
48,Sunset Beats Theater,48412,2025-12-14,2025-12-18,True,Planiran,812
49,Radiant Wave Arena,45593,2025-11-11,2025-11-21,False,Zavrsen,474
50,Harmony Rhythm Park,44974,2025-11-05,2025-11-14,True,Zavrsen,851
51,Sunset Pulse Pier,21281,2025-11-09,2025-11-13,True,Zavrsen,517
52,Radiant Era Plaza,22868,2025-11-12,2025-11-20,False,Zavrsen,181
53,Rock Horizon Plaza,39948,2025-11-30,2025-12-09,False,Aktivan,403
54,Neon Wave Park,36578,2025-11-04,2025-11-07,False,Zavrsen,715
55,Lunar Sound Hill,77948,2025-12-03,2025-12-11,False,Aktivan,148
56,Solar Pulse Garden,22272,2025-12-21,2025-12-30,False,Planiran,455
57,Jazz Aura Theater,54701,2025-12-24,2025-12-30,False,Planiran,287
58,Silent Beats Hall,22015,2025-11-16,2025-11-25,False,Zavrsen,832
59,Neon Vibes Dome,64636,2025-11-29,2025-12-09,False,Aktivan,500
60,Solar Pulse Theater,3640,2025-12-29,2025-12-30,True,Planiran,617
61,Electric Jam Pier,56377,2025-11-28,2025-12-08,False,Aktivan,741
62,Midnight Beats Oasis,81712,2025-12-04,2025-12-12,True,Aktivan,530
63,Sunset Vibes Theater,56808,2025-11-18,2025-11-23,False,Zavrsen,145
64,Sunset Sound Court,19758,2025-11-20,2025-11-24,False,Zavrsen,230
65,Lunar Storm Arena,31076,2025-11-27,2025-12-02,True,Zavrsen,474
66,Electric Era Court,94091,2025-12-26,2026-01-01,True,Planiran,30
67,Dream Beats Arena,44846,2025-12-17,2025-12-20,True,Planiran,758
68,Golden Echo Theater,73177,2025-11-21,2025-12-01,True,Zavrsen,850
69,Silent Pulse Square,41597,2025-12-07,2025-12-09,True,Planiran,314
70,Rock Sound Pier,3074,2025-12-24,2026-01-03,True,Planiran,28
